mpg,cylinders,displacement,horsepower,price,acceleration,year,origin,name,,company
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,,Iconic Supercar & Sportscar Brands
15,8,350,165,3693,11.5,70,1,buick skylark 320,,Car Brands – A
18,8,318,150,3436,11,70,1,plymouth satellite,,Car Brands – N
16,8,304,150,3433,12,70,1,amc rebel sst,,Car Brands – G
17,8,302,140,3449,10.5,70,1,ford torino,,Iconic Supercar & Sportscar Brands
15,8,429,198,4341,10,70,1,ford galaxie 500,,Car Brands – U
14,8,454,220,4354,9,70,1,chevrolet impala,,Car Brands – L
14,8,440,215,4312,8.5,70,1,plymouth fury iii,,Car Brands – J
14,8,455,225,4425,10,70,1,pontiac catalina,,Car Brands – R
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,,Porsche
15,8,383,170,3563,10,70,1,dodge challenger se,,Car Brands – C
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,,Car Brands – U
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,,Car Brands – N
14,8,455,225,3086,10,70,1,buick estate wagon (sw),,Car Brands – T
24,4,113,95,2372,15,70,3,toyota corona mark ii,,Car Brands – B
22,6,198,95,2833,15.5,70,1,plymouth duster,,Car Brands – P
18,6,199,97,2774,15.5,70,1,amc hornet,,Mercedes-Benz
21,6,200,85,2587,16,70,1,ford maverick,,Car Brands – W
27,4,97,88,2130,14.5,70,3,datsun pl510,,Jaguar
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,,Car Brands – F
25,4,110,87,2672,17.5,70,2,peugeot 504,,Bentley
24,4,107,90,2430,14.5,70,2,audi 100 ls,,Car Brands – K
25,4,104,95,2375,17.5,70,2,saab 99e,,Car Brands – G
26,4,121,113,2234,12.5,70,2,bmw 2002,,Car Brands – Y
21,6,199,90,2648,15,70,1,amc gremlin,,Car Brands – D
10,8,360,215,4615,14,70,1,ford f250,,Car Brands – D
10,8,307,200,4376,15,70,1,chevy c20,,Car Brands – A
11,8,318,210,4382,13.5,70,1,dodge d200,,Car Brands – B
9,8,304,193,4732,18.5,70,1,hi 1200d,,Car Brands – T
27,4,97,88,2130,14.5,71,3,datsun pl510,,Iconic Supercar & Sportscar Brands
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,,Ferrari
25,4,113,95,2228,14,71,3,toyota corona,,Lamborghini
19,6,232,100,2634,13,71,1,amc gremlin,,Car Brands – S
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,,Car Brands – G
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,,Bugatti
19,6,250,88,3302,15.5,71,1,ford torino 500,,Ferrari
18,6,232,100,3288,15.5,71,1,amc matador,,Mercedes-Benz
14,8,350,165,4209,12,71,1,chevrolet impala,,Lamborghini
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,,Pagani
14,8,351,153,4154,13.5,71,1,ford galaxie 500,,Car Brands – D
14,8,318,150,4096,13,71,1,plymouth fury iii,,Car Brands – L
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),,Car Brands – L
13,8,400,170,4746,12,71,1,ford country squire (sw),,Car Brands – I
13,8,400,175,5140,12,71,1,pontiac safari (sw),,Car Brands – M
18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),,Car Brands – T
22,4,140,72,2408,19,71,1,chevrolet vega (sw),,Car Brands – A
19,6,250,100,3282,15,71,1,pontiac firebird,,Iconic Supercar & Sportscar Brands
18,6,250,88,3139,14.5,71,1,ford mustang,,McLaren
23,4,122,86,2220,14,71,1,mercury capri 2000,,Car Brands – Z
28,4,116,90,2123,14,71,2,opel 1900,,Lamborghini
30,4,79,70,2074,19.5,71,2,peugeot 304,,Bentley
30,4,88,76,2065,14.5,71,2,fiat 124b,,Alphabetical List of Car Brands
31,4,71,65,1773,19,71,3,toyota corolla 1200,,Car Brands – K
35,4,72,69,1613,18,71,3,datsun 1200,,Car Brands – A
